id,device,timestamp,HIGH_ACTIVITY_INTERVALS,LOW_ACTIVITY_INTERVALS,TOTAL_INTERVALS
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-8,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336649112,12,1,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-11,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336649232,0,2,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-15,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336649361,0,0,6
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-18,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336649472,2,4,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-22,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336649592,8,0,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-25,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336649712,0,2,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-28,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336649832,0,1,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-32,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336649952,9,3,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-35,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336650072,11,2,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-39,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336650192,5,3,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-42,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336650312,2,1,15
d2c0c1ca-7925-4bcb-916b-e0d0475a54e1-45,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336650432,0,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-3,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336646952,0,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-6,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336647072,11,3,15
4b179a3b-8386-4b57-9968-baf0b3d739de-10,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336647192,0,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-12,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336647312,14,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-15,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336647432,14,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-19,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336647552,0,1,15
4b179a3b-8386-4b57-9968-baf0b3d739de-22,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336647672,1,0,15
